"Echinostephia aculeata","Echinostephia","","aculeata",NA,NA,"","","kew-2783880",TRUE,"1.1","Accepted","Menispermaceae","Echinostephia","","aculeata","","","(F.M.Bailey) Domin","kew-2783880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum aemulum","Elaphoglossum","","aemulum",NA,NA,"","","tro-26602239",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","aemulum","","","Brack.","tro-26602239","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum affine","Elaphoglossum","","affine",NA,NA,"","","tro-26607167",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","affine","","","(M. Martens & Galeotti) T. Moore","tro-26607167","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum albescens","Elaphoglossum","","albescens",NA,NA,"","","tro-26612166",TRUE,"1.1","Synonym","Dryopteridaceae","Elaphoglossum","","notatum","","","(Fée) T. Moore","tro-50009358","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum alismifolium","Elaphoglossum","","alismifolium",NA,NA,"","","ifn-33339",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","alismifolium","","","T.Moore","ifn-33339","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum alvaradoanum","Elaphoglossum","","alvaradoanum",NA,NA,"","","tro-100351615",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","alvaradoanum","","","A. Rojas","tro-100351615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum amygdalifolium","Elaphoglossum","","amygdalifolium",NA,NA,"","","tro-26607849",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","amygdalifolium","","","(Mett. ex Kuhn) Christ","tro-26607849","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum andreanum","Elaphoglossum","","andreanum",NA,NA,"","","tro-26625846",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","andreanum","","","Christ","tro-26625846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum angulatum","Elaphoglossum","","angulatum",NA,NA,"","","tro-26614839",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","angulatum","","","(Blume) T. Moore","tro-26614839","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum anthracinum","Elaphoglossum","","anthracinum",NA,NA,"","","",FALSE,"1.1","","","Elaphoglossum","","anthracinum",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum apodum","Elaphoglossum","","apodum",NA,NA,"","","tro-26602241",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","apodum","","","(Kaulf.) Schott ex J. Sm.","tro-26602241","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum asterolepis","Elaphoglossum","","asterolepis",NA,NA,"","","tro-26601791",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","asterolepis","","","(Baker) C. Chr.","tro-26601791","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum aubertii","Elaphoglossum","","aubertii",NA,NA,"","","tro-26601581",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","aubertii","","","(Desv.) T. Moore","tro-26601581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum auricomum","Elaphoglossum","","auricomum",NA,NA,"","","tro-26607171",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","auricomum","","","(Kunze) T. Moore","tro-26607171","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum auripilum","Elaphoglossum","","auripilum",NA,NA,"","","tro-26615321",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","auripilum","","","Christ","tro-26615321","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum austromarquesense","Elaphoglossum","","austromarquesense",NA,NA,"","","ifn-33399",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","austromarquesense","","","Rouhan & Lorence","ifn-33399","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum avaratraense","Elaphoglossum","","avaratraense",NA,NA,"","","ifn-33401",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","avaratraense","","","Rakotondr.","ifn-33401","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum backhousianum","Elaphoglossum","","backhousianum",NA,NA,"","","tro-26617320",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","backhouseanum","","","T. Moore","tro-26617320","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Elaphoglossum bellermannianum","Elaphoglossum","","bellermannianum",NA,NA,"","","tro-26615002",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","bellermannianum","","","(Klotzsch) T. Moore","tro-26615002","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum bifurcatum","Elaphoglossum","","bifurcatum",NA,NA,"","","tro-26609370",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","bifurcatum","","","(Jacq.) Mickel","tro-26609370","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum biolleyi","Elaphoglossum","","biolleyi",NA,NA,"","","tro-26617321",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","biolleyi","","","Christ","tro-26617321","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum blepharis","Elaphoglossum","","blepharis",NA,NA,"","","tro-26617334",TRUE,"1.1","Synonym","Dryopteridaceae","Elaphoglossum","","erinaceum","","","(Fée) T. Moore","tro-26602247","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Elaphoglossum boryanum","Elaphoglossum","","boryanum",NA,NA,"","","tro-26611902",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","boryanum","","","(Fée) T. Moore","tro-26611902","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum bryogenes","Elaphoglossum","","bryogenes",NA,NA,"","","tro-26619395",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","bryogenes","","","Mickel","tro-26619395","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum burchellii","Elaphoglossum","","burchellii",NA,NA,"","","tro-26611045",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","burchellii","","","(Baker) C. Chr.","tro-26611045","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum callifolium","Elaphoglossum","","callifolium",NA,NA,"","","tro-26617786",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","callifolium","","","(Blume) T. Moore","tro-26617786","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum cardenasii","Elaphoglossum","","cardenasii",NA,NA,"","","tro-26609675",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","cardenasii","","","W.H. Wagner","tro-26609675","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum cardiophyllum","Elaphoglossum","","cardiophyllum",NA,NA,"","","tro-26622922",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","cardiophyllum","","","(Hook.) T. Moore","tro-26622922","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum caricifolium","Elaphoglossum","","caricifolium",NA,NA,"","","tro-26615326",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","caricifolium","","","Mickel","tro-26615326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum christianeae","Elaphoglossum","","christianeae",NA,NA,"","","tro-26615328",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","christianeae","","","Mickel","tro-26615328","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum ciliatum","Elaphoglossum","","ciliatum",NA,NA,"","","tro-26612149",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","ciliatum","","","(C. Presl) T. Moore","tro-26612149","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum cismense","Elaphoglossum","","cismense",NA,NA,"","","tro-26617326",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","cismense","","","Rosenst.","tro-26617326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum cocosense","Elaphoglossum","","cocosense",NA,NA,"","","tro-26615329",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","cocosense","","","Mickel","tro-26615329","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum columbianum","Elaphoglossum","","columbianum",NA,NA,"","","tro-26615003",TRUE,"1.1","Synonym","Dryopteridaceae","Elaphoglossum","","moorei","","","(E. Britton) Christ","tro-26615092","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum concinnum","Elaphoglossum","","concinnum",NA,NA,"","","tro-26612147",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","concinnum","","","Mickel","tro-26612147","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum conforme","Elaphoglossum","","conforme",NA,NA,"","","tro-26601546",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","conforme","","","(Sw.) Schott","tro-26601546","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum conspersum","Elaphoglossum","","conspersum",NA,NA,"","","tro-26617327",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","conspersum","","","Christ","tro-26617327","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum coriaceum","Elaphoglossum","","coriaceum",NA,NA,"","","tro-26601559",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","coriaceum","","","Bonap.","tro-26601559","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum costaricense","Elaphoglossum","","costaricense",NA,NA,"","","tro-26617315",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","costaricense","","","Christ","tro-26617315","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum coursii","Elaphoglossum","","coursii",NA,NA,"","","tro-26601561",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","coursii","","","Tardieu","tro-26601561","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum craspedariiforme","Elaphoglossum","","craspedariiforme",NA,NA,"","","tro-50276444",TRUE,"1.1","Synonym","Dryopteridaceae","Elaphoglossum","","squamipes","","","(Hook.) T. Moore","tro-26607211","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum crinitum","Elaphoglossum","","crinitum",NA,NA,"","","tro-26602244",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","crinitum","","","(L.) Christ","tro-26602244","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum croatii","Elaphoglossum","","croatii",NA,NA,"","","tro-26615332",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","croatii","","","Mickel","tro-26615332","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum cubense","Elaphoglossum","","cubense",NA,NA,"","","tro-26625575",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","cubense","","","(Mett. ex Kuhn) C. Chr.","tro-26625575","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum cuspidatum","Elaphoglossum","","cuspidatum",NA,NA,"","","tro-26612145",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","cuspidatum","","","(Willd.) T. Moore","tro-26612145","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum davidsei","Elaphoglossum","","davidsei",NA,NA,"","","tro-26615333",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","davidsei","","","Mickel","tro-26615333","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum decaryanum","Elaphoglossum","","decaryanum",NA,NA,"","","tro-26601548",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","decaryanum","","","Tardieu","tro-26601548","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum deckenii","Elaphoglossum","","deckenii",NA,NA,"","","tro-26601599",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","deckenii","","","(Kuhn) C. Chr.","tro-26601599","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum decoratum","Elaphoglossum","","decoratum",NA,NA,"","","tro-26602245",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","decoratum","","","(Kunze) T. Moore","tro-26602245","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum delgadilloanum","Elaphoglossum","","delgadilloanum",NA,NA,"","","tro-50246992",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","delgadilloanum","","","A. Rojas","tro-50246992","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum dimorphum","Elaphoglossum","","dimorphum",NA,NA,"","","tro-50287862",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","dimorphum","","","Moore","tro-50287862","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum discolor","Elaphoglossum","","discolor",NA,NA,"","","tro-26612142",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","discolor","","","(Kuhn) C. Chr.","tro-26612142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum doanense","Elaphoglossum","","doanense",NA,NA,"","","tro-26617313",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","doanense","","","L.D. Gómez","tro-26617313","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum edwallii","Elaphoglossum","","edwallii",NA,NA,"","","tro-50312589",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","edwallii","","","Rosenst.","tro-50312589","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum eggersii","Elaphoglossum","","eggersii",NA,NA,"","","tro-26625583",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","eggersii","","","(Baker) Christ","tro-26625583","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum engelii","Elaphoglossum","","engelii",NA,NA,"","","tro-26607175",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","engelii","","","(H. Karst.) Christ","tro-26607175","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum erinaceum","Elaphoglossum","","erinaceum",NA,NA,"","","tro-26602247",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","erinaceum","","","(Fée) T. Moore","tro-26602247","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum eximium","Elaphoglossum","","eximium",NA,NA,"","","tro-26607178",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","eximium","","","(Mett.) Christ","tro-26607178","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum feei","Elaphoglossum","","feei",NA,NA,"","","tro-26625887",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","feei","","","(Bory ex Fée) T. Moore","tro-26625887","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum firmum","Elaphoglossum","","firmum",NA,NA,"","","tro-26602249",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","firmum","","","(Mett. ex Kuhn) Underw.","tro-26602249","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum flaccidum","Elaphoglossum","","flaccidum",NA,NA,"","","tro-26607886",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","flaccidum","","","(Fée) T. Moore","tro-26607886","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum forsythii","Elaphoglossum","","forsythii",NA,NA,"","","",FALSE,"1.1","","","Elaphoglossum","","forsythii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum fournierianum","Elaphoglossum","","fournierianum",NA,NA,"","","tro-26609633",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","fournierianum","","","L.D. Gómez","tro-26609633","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum furfuraceum","Elaphoglossum","","furfuraceum",NA,NA,"","","tro-26615179",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","furfuraceum","","","(Mett. ex Kuhn) Christ","tro-26615179","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum glabellum","Elaphoglossum","","glabellum",NA,NA,"","","tro-26602250",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","glabellum","","","J. Sm.","tro-26602250","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum glaucum","Elaphoglossum","","glaucum",NA,NA,"","","tro-26607180",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","glaucum","","","T. Moore","tro-26607180","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum gomezianum","Elaphoglossum","","gomezianum",NA,NA,"","","tro-50114450",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","gomezianum","","","A. Rojas","tro-50114450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum grayumii","Elaphoglossum","","grayumii",NA,NA,"","","tro-26615337",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","grayumii","","","Mickel","tro-26615337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum guatemalense","Elaphoglossum","","guatemalense",NA,NA,"","","tro-26607183",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","guatemalense","","","(Klotzsch) T. Moore","tro-26607183","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum guentheri","Elaphoglossum","","guentheri",NA,NA,"","","tro-50007534",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","guentheri","","","Rosenst.","tro-50007534","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum herminieri","Elaphoglossum","","herminieri",NA,NA,"","","tro-26602251",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","herminieri","","","(Bory ex Fée) T. Moore","tro-26602251","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum heterolepis","Elaphoglossum","","heterolepis",NA,NA,"","","ifn-33747",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","heterolepis","","","T.Moore","ifn-33747","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum hoffmanii","Elaphoglossum","","hoffmanii",NA,NA,"","","tro-26614489",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","hoffmannii","","","(Mett. ex Kuhn) Christ","tro-26614489","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Elaphoglossum hornei","Elaphoglossum","","hornei",NA,NA,"","","ifn-33763",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","hornei","","","C.Chr.","ifn-33763","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum huacsaro","Elaphoglossum","","huacsaro",NA,NA,"","","tro-26607185",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","huacsaro","","","(Ruiz) Christ","tro-26607185","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum humbertii","Elaphoglossum","","humbertii",NA,NA,"","","tro-26601560",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","humbertii","","","C. Chr.","tro-26601560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum hybridum","Elaphoglossum","","hybridum",NA,NA,"","","tro-26601584",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","hybridum","","","(Bory) Brack.","tro-26601584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum incognitum","Elaphoglossum","","incognitum",NA,NA,"","","tro-50247009",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","incognitum","","","A. Rojas","tro-50247009","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum killipii","Elaphoglossum","","killipii",NA,NA,"","","tro-26611650",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","killipii","","","Mickel","tro-26611650","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lanatum","Elaphoglossum","","lanatum",NA,NA,"","","tro-26616541",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","lanatum","","","Lorence","tro-26616541","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lancifolium","Elaphoglossum","","lancifolium",NA,NA,"","","tro-100376005",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lancifolium","","","(Desv.) C.V. Morton","tro-100376005","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum langsdorffii","Elaphoglossum","","langsdorffii",NA,NA,"","","tro-26611055",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","langsdorffii","","","(Hook. & Grev.) T. Moore","tro-26611055","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lastii","Elaphoglossum","","lastii",NA,NA,"","","tro-26616175",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lastii","","","(Baker) C. Chr.","tro-26616175","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum latifolium","Elaphoglossum","","latifolium",NA,NA,"","","tro-26607188",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","latifolium","","","(Sw.) J. Sm.","tro-26607188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lehmannianum","Elaphoglossum","","lehmannianum",NA,NA,"","","tro-50060400",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lehmannianum","","","Christ","tro-50060400","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lepervanchii","Elaphoglossum","","lepervanchii",NA,NA,"","","tro-26614836",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lepervanchii","","","(Bory) T. Moore","tro-26614836","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum leucolepis","Elaphoglossum","","leucolepis",NA,NA,"","","tro-26601593",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","leucolepis","","","(Baker) Krajina ex Tardieu","tro-26601593","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lindenii","Elaphoglossum","","lindenii",NA,NA,"","","tro-26607190",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lindenii","","","(Bory ex Fée) T. Moore","tro-26607190","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lingua","Elaphoglossum","","lingua",NA,NA,"","","tro-26610790",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lingua","","","(C. Presl) Brack.","tro-26610790","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lloense","Elaphoglossum","","lloense",NA,NA,"","","tro-26625850",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lloense","","","(Hook.) T. Moore","tro-26625850","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum lonchophyllum","Elaphoglossum","","lonchophyllum",NA,NA,"","","tro-26617312",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","lonchophyllum","","","(Fée) T. Moore","tro-26617312","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum longistipitatum","Elaphoglossum","","longistipitatum",NA,NA,"","","tro-50156640",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","longistipitatum","","","A. Rojas","tro-50156640","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum luridum","Elaphoglossum","","luridum",NA,NA,"","","tro-26611636",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","luridum","","","(Fée) Christ","tro-26611636","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum macropodium","Elaphoglossum","","macropodium",NA,NA,"","","tro-26601544",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","macropodium","","","(Fée) T. Moore","tro-26601544","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum malgassicum","Elaphoglossum","","malgassicum",NA,NA,"","","tro-26601533",TRUE,"1.1","Synonym","Dryopteridaceae","Elaphoglossum","","didynamum","","","(Fée) T. Moore","tro-26601530","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum marojejyense","Elaphoglossum","","marojejyense",NA,NA,"","","tro-26601536",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","marojejyense","","","Tardieu","tro-26601536","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum marquisearum","Elaphoglossum","","marquisearum",NA,NA,"","","ifn-33927",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","marquisearum","","","Bonap.","ifn-33927","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum martinicense","Elaphoglossum","","martinicense",NA,NA,"","","tro-26602256",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","martinicense","","","(Desv.) T. Moore","tro-26602256","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum maxonii","Elaphoglossum","","maxonii",NA,NA,"","","tro-26602257",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","maxonii","","","Underw. ex Maxon","tro-26602257","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum metallicum","Elaphoglossum","","metallicum",NA,NA,"","","tro-26611630",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","metallicum","","","Mickel","tro-26611630","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum meyeri","Elaphoglossum","","meyeri",NA,NA,"","","ifn-33952",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","meyeri","","","Rouhan","ifn-33952","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum micropogon","Elaphoglossum","","micropogon",NA,NA,"","","tro-26615345",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","micropogon","","","Mickel","tro-26615345","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum minutissimum","Elaphoglossum","","minutissimum",NA,NA,"","","tro-50295801",TRUE,"1.1","Unresolved","Dryopteridaceae","Elaphoglossum","","minutissimum","","","R.C. Moran & Mickel","tro-50295801","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum minutum","Elaphoglossum","","minutum",NA,NA,"","","tro-26611054",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","minutum","","","(Pohl ex Fée) T. Moore","tro-26611054","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum mitorrhizum","Elaphoglossum","","mitorrhizum",NA,NA,"","","tro-26615346",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","mitorrhizum","","","Mickel","tro-26615346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum moranii","Elaphoglossum","","moranii",NA,NA,"","","tro-26615348",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","moranii","","","Mickel","tro-26615348","Accepted",FALSE,FALSE,FALSE,2017-05-11
